Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
3162955,São José da Lapa (MG),562225.0,76673.0,8906.0,187878.0,176427.0,112341.0
3163003,São José da Safira (MG),40247.0,1758.0,2488.0,1542.0,13428.0,21031.0
3163102,São José da Varginha (MG),107046.0,4813.0,52611.0,2190.0,21622.0,25810.0
3163201,São José do Alegre (MG),52082.0,3053.0,5322.0,2908.0,19664.0,21134.0
3163300,São José do Divino (MG),45615.0,1290.0,8175.0,1234.0,14192.0,20724.0
3163409,São José do Goiabal (MG),61151.0,2066.0,9322.0,2474.0,19102.0,28188.0
3163508,São José do Jacuri (MG),95899.0,5486.0,16400.0,19348.0,23765.0,30899.0
3163607,São José do Mantimento (MG),39592.0,1036.0,6978.0,1550.0,10698.0,19331.0
3163706,São Lourenço (MG),1044967.0,89056.0,2157.0,70527.0,652270.0,230958.0
3163805,São Miguel do Anta (MG),94680.0,4059.0,23254.0,5774.0,26013.0,35581.0
3163904,São Pedro da União (MG),109589.0,5060.0,42373.0,5305.0,31574.0,25277.0
3164001,São Pedro dos Ferros (MG),123203.0,8897.0,18502.0,18848.0,41724.0,35232.0
3164100,São Pedro do Suaçuí (MG),78549.0,5094.0,9204.0,13228.0,25732.0,25292.0
3164209,São Romão (MG),168471.0,7556.0,58598.0,8513.0,39068.0,54737.0
3164308,São Roque de Minas (MG),277863.0,21393.0,103414.0,35405.0,81112.0,36539.0
3164407,São Sebastião da Bela Vista (MG),392460.0,75004.0,15258.0,67611.0,202170.0,32417.0
3164431,São Sebastião da Vargem Alegre (MG),53098.0,1557.0,7852.0,9610.0,14105.0,19973.0
3164472,São Sebastião do Anta (MG),82435.0,3916.0,14071.0,4292.0,27390.0,32766.0
3164506,São Sebastião do Maranhão (MG),92984.0,3830.0,16813.0,2967.0,27851.0,41524.0
3164605,São Sebastião do Oeste (MG),599416.0,72730.0,73421.0,274731.0,141020.0,37515.0
3164704,São Sebastião do Paraíso (MG),2066404.0,247866.0,129740.0,389878.0,963435.0,335484.0
3164803,São Sebastião do Rio Preto (MG),23463.0,538.0,3649.0,612.0,5860.0,12804.0
3164902,São Sebastião do Rio Verde (MG),34649.0,1360.0,4976.0,2618.0,10922.0,14772.0
